=================================================================
EVER-HALLUCINATED vs FINAL-ITERATION REPORT
Victim model: Qwen2.5-VL 7B  |  Judge: Gemma-4-abliterated
Combined across outputs_victim_qwen_28 + outputs_victim_qwen_50 +
outputs_victim_qwen_151_200 + outputs_victim_qwen_201_280 + outputs_victim_qwen_281_360 +
outputs_victim_qwen_361_440 + outputs_victim_qwen_441_520 + outputs_victim_qwen_521_600 +
outputs_victim_qwen_601_650_reuse + outputs_victim_qwen_651_700 + outputs_victim_qwen_701_750 +
outputs_victim_qwen_751_800 + outputs_victim_qwen_801_850

NOTE: outputs_victim_qwen_151_200, outputs_victim_qwen_
201_280, outputs_victim_qwen_281_360, outputs_victim_
qwen_361_440, outputs_victim_qwen_441_520, outputs_
victim_qwen_521_600, outputs_victim_qwen_601_650_reuse,
outputs_victim_qwen_651_700, outputs_victim_qwen_701_750,
outputs_victim_qwen_751_800, and outputs_victim_qwen_801_850
used the 'reuse' method — Steps 1-7 images/
newspapers were taken directly from the Gemma-victim run's
FINAL iteration and reused as-is; only Steps 8/9 were
rerun with Qwen2.5-VL as victim. These entries therefore
have exactly ONE pass each, so their 'final' and 'ever
hallucinated' values are identical by construction, not
because escalation happened to stop early.
=================================================================
Total entries scored: 470

-----------------------------------------------------------------
STATISTIC 1: FINAL ITERATION ONLY
-----------------------------------------------------------------
  TARGETED hallucination   : 70 (14.9%)
  UNTARGETED hallucination : 30 (6.4%)
  NOT hallucinating        : 370 (78.7%)
  TOTAL hallucination (final attempt) : 100 (21.3%)

-----------------------------------------------------------------
STATISTIC 2: EVER HALLUCINATED (any iteration during escalation)
-----------------------------------------------------------------
  EVER hit TARGETED (at least once)        : 70 (14.9%)
  EVER hallucinated, targeted OR untargeted : 103 (21.9%)
  NEVER hallucinated (all iterations correct): 367 (78.1%)

-----------------------------------------------------------------
SUMMARY COMPARISON
-----------------------------------------------------------------
  21.3% of entries hallucinated on their FINAL attempt, but 21.9% hallucinated at least once during escalation (where escalation applies).
  3 entries hallucinated at some point but 'recovered' to the correct answer by their final iteration (only possible for the two two-phase batches).

-----------------------------------------------------------------
ENTRIES THAT HALLUCINATED THEN 'RECOVERED' BY FINAL ITERATION:
-----------------------------------------------------------------
  outputs_victim_qwen_28 / Entry #84: iterations = ['UNTARGETED', 'NONE', 'NONE', 'UNTARGETED', 'NONE']
  outputs_victim_qwen_50 / Entry #108: iterations = ['UNTARGETED', 'UNTARGETED', 'NONE', 'NONE', 'NONE']
  outputs_victim_qwen_50 / Entry #141: iterations = ['NONE', 'UNTARGETED', 'NONE', 'UNTARGETED', 'NONE']

-----------------------------------------------------------------
PER-ENTRY DETAIL (all iterations)
-----------------------------------------------------------------
  outputs_victim_qwen_151_200 Entry #151: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #153: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #156: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #158: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #159: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #160: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #162: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #164: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #165: final=UNTARGETED | ever_hallucinated=YES | all_iterations=['UNTARGETED']
  outputs_victim_qwen_151_200 Entry #167: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #169: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_151_200 Entry #170: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #171: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #176: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #179: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #180: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #181: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #183: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #184: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #186: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #187: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #188: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_151_200 Entry #189: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_151_200 Entry #192: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_151_200 Entry #194: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_151_200 Entry #200: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #201: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #203: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #204: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #205: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #206: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #208: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #210: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_201_280 Entry #211: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #212: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #213: final=UNTARGETED | ever_hallucinated=YES | all_iterations=['UNTARGETED']
  outputs_victim_qwen_201_280 Entry #214: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #215: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #216: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #217: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #223: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #225: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #228: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #233: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #234: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #235: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #236: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_201_280 Entry #237: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #238: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #240: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #241: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #245: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #248: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #249: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #250: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #251: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #252: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #253: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #254: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #255: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #256: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #257: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #258: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #262: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_201_280 Entry #263: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #264: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #265: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #267: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_201_280 Entry #268: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #270: final=UNTARGETED | ever_hallucinated=YES | all_iterations=['UNTARGETED']
  outputs_victim_qwen_201_280 Entry #273: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_201_280 Entry #274: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE']
  outputs_victim_qwen_201_280 Entry #276: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_201_280 Entry #277: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_28     Entry #  3: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE', 'NONE', 'NONE', 'NONE', 'NONE']
  outputs_victim_qwen_28     Entry #  4: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE', 'NONE', 'NONE', 'NONE', 'NONE']
  outputs_victim_qwen_28     Entry #  6: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE', 'NONE', 'NONE', 'NONE', 'NONE']
  outputs_victim_qwen_28     Entry #  8: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE', 'NONE', 'NONE', 'NONE', 'NONE']
  outputs_victim_qwen_28     Entry # 16: final=TARGETED   | ever_hallucinated=YES | all_iterations=['TARGETED']
  outputs_victim_qwen_28     Entry # 19: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE', 'NONE', 'NONE', 'NONE', 'NONE']
  outputs_victim_qwen_28     Entry # 23: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE', 'NONE', 'NONE', 'NONE', 'NONE']
  outputs_victim_qwen_28     Entry # 27: final=TARGETED   | ever_hallucinated=YES | all_iterations=['NONE', 'NONE', 'TARGETED']
  outputs_victim_qwen_28     Entry # 31: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE', 'NONE', 'NONE', 'NONE', 'NONE']
  outputs_victim_qwen_28     Entry # 37: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE', 'NONE', 'NONE', 'NONE', 'NONE']
  outputs_victim_qwen_28     Entry # 45: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE', 'NONE', 'NONE', 'NONE', 'NONE']
  outputs_victim_qwen_28     Entry # 51: final=NONE       | ever_hallucinated=NO  | all_iterations=['NONE', 'NONE', 'NONE', 'NONE', 'NONE']
